avg_degree,avg_betweenness_centrality,diameter,girth,num_nodes,num_edges,k0_nullity,k0_low_lying_density,k0_trace,k0_spectral_moment_2,k0_quasi_wiener_index,k0_spanning_tree_number,k1_nullity,k1_low_lying_density,k1_trace,k1_spectral_moment_2,k1_quasi_wiener_index,k1_spanning_tree_number,k2_nullity,k2_low_lying_density,k2_trace,k2_spectral_moment_2,k2_quasi_wiener_index,k2_spanning_tree_number,graph_type,p,instance,epsilon
2.12,0.04845238095238095,9.0,5.0,50,53,5,21,105.99999999999997,423.99999999999983,2628.434065830747,14.537084663625643,8,23,106.0,424.00000000000006,2628.434065830744,14.537084663625654,0,0,0.0,0.0,0.0,-inf,erdos_renyi,0.05,11.0,
1.92,0.020323129251700676,9.0,3.0,50,48,10,18,96.00000000000003,346.0,1555.5734375888828,18.28207797143139,6,16,102.0,380.00000000000006,1863.838485870492,18.582081252902135,0,0,6.0,18.0,2.0,1.0986122886681098,erdos_renyi,0.05,12.0,
2.36,0.05035714285714286,8.0,3.0,50,59,6,18,118.0,498.00000000000006,1898.9000164432393,22.429419371996325,13,26,124.00000000000003,532.0000000000002,2191.579618454344,22.872660886352293,0,0,6.0,18.0,2.0,1.0986122886681098,erdos_renyi,0.05,13.0,
2.6,0.034421768707482994,7.0,3.0,50,65,9,18,130.0,638.0000000000003,1233.1730971261973,29.55045340952988,19,30,145.0,730.9999999999997,1749.1975713625873,31.34895102958964,0,0,15.0,45.0,10.0,3.701301974112494,erdos_renyi,0.05,14.0,
2.12,0.059761904761904766,9.0,3.0,50,53,6,18,106.00000000000001,420.0,2695.549392768637,14.770514181764648,8,21,109.0,429.0,2770.783823719047,15.847147563713987,0,0,3.0,9.0,0.6666666666666666,0.4054651081081645,erdos_renyi,0.05,15.0,
2.76,0.04241496598639456,7.0,3.0,50,69,5,16,138.0,684.0000000000001,1630.7591239701082,28.830528214336574,21,32,147.0,727.0000000000001,1849.3064498094795,31.02750420443503,0,0,9.0,27.0,4.0,1.9095425048844386,erdos_renyi,0.05,16.0,
2.4,0.045034013605442166,8.0,3.0,50,60,6,20,120.00000000000001,547.9999999999999,2029.6374193482172,20.88962119858514,11,25,135.00000000000003,597.0000000000001,2348.009831021828,26.02600769798695,0,0,15.0,49.0,11.142857142857144,3.4499875458315876,erdos_renyi,0.05,17.0,
2.04,0.08079931972789116,11.0,3.0,50,51,4,20,101.99999999999999,377.99999999999983,4929.199792960667,7.566311014772443,3,20,107.99999999999997,396.0,5171.619642306536,9.721862895708087,0,0,6.0,18.0,2.0,1.0986122886681098,erdos_renyi,0.05,18.0,
1.96,0.036326530612244896,8.0,4.0,50,49,8,24,98.0,388.0,2157.5340615911205,13.214644195309127,7,22,98.0,387.99999999999994,2157.5340615911205,13.214644195309123,0,0,0.0,0.0,0.0,-inf,erdos_renyi,0.05,19.0,
5.8,0.02879251700680272,5.0,3.0,50,145,1,1,290.00000000000006,2182.0,591.2274662279902,75.3598377990328,67,69,377.00000000000006,2539.0000000000005,1961.411266794572,102.7012051185401,0,0,87.0,293.0,332.70361990950227,26.558349745283827,erdos_renyi,0.1,0.0,
4.72,0.03363945578231292,5.0,3.0,50,118,1,4,236.0,1566.0,876.0047412505805,61.47833544534604,52,57,287.0,1826.9999999999995,1842.7904487843412,75.38911364160967,0,1,50.99999999999999,164.99999999999997,114.40909090909092,14.970983216061505,erdos_renyi,0.1,1.0,
